antecedent,consequent,support,confidence,lift
sentiment:Negative,rating_low,0.018392,0.888244,8.300004
aspect:waiting_time,aspect:service,0.01124,0.346296,6.838581
aspect:waiting_time,"aspect:food_quality,sentiment:Neutral",0.013944,0.42963,6.670987
aspect:service,"aspect:ambience,aspect:food_quality",0.015718,0.310386,5.656126
aspect:price_value,"aspect:food_quality,sentiment:Neutral",0.012382,0.362996,5.636341
"aspect:service,rating_high",aspect:ambience,0.014335,0.505832,5.486172
aspect:service,"aspect:food_quality,sentiment:Neutral",0.01719,0.339466,5.270988
"aspect:waiting_time,rating_high",aspect:ambience,0.010248,0.47427,5.143849
"aspect:service,sentiment:Neutral",aspect:ambience,0.010849,0.456962,4.956131
"aspect:food_quality,aspect:service",aspect:ambience,0.015718,0.452422,4.906893
aspect:waiting_time,aspect:ambience,0.013884,0.427778,4.639604
"aspect:ambience,aspect:service",aspect:food_quality,0.015718,0.780597,4.437029
aspect:service,aspect:ambience,0.020135,0.397626,4.312584
aspect:waiting_time,"aspect:ambience,rating_high",0.010248,0.315741,4.281285
"aspect:service,rating_high",aspect:food_quality,0.021337,0.752916,4.279687
"aspect:service,sentiment:Positive",aspect:food_quality,0.014425,0.745342,4.236632
"aspect:service,sentiment:Neutral",aspect:food_quality,0.01719,0.724051,4.115611
"aspect:food_quality,sentiment:Neutral",aspect:ambience,0.024132,0.374708,4.064022
aspect:quantity,aspect:food_quality,0.015567,0.695302,3.952199
aspect:service,aspect:food_quality,0.034741,0.686053,3.899629
"aspect:waiting_time,rating_high",aspect:food_quality,0.014696,0.680111,3.865853
aspect:price_value,aspect:ambience,0.012051,0.353304,3.831874
"aspect:price_value,rating_high",aspect:food_quality,0.014726,0.674003,3.831131
"aspect:waiting_time,sentiment:Neutral",aspect:food_quality,0.013944,0.66571,3.783995
aspect:price_value,aspect:food_quality,0.02263,0.663436,3.771069
aspect:waiting_time,aspect:food_quality,0.021488,0.662037,3.763116
"aspect:food_quality,rating_high",sentiment:Positive,0.093614,0.726954,3.724886
sentiment:Positive,"aspect:food_quality,rating_high",0.093614,0.479674,3.724886
"aspect:ambience,sentiment:Neutral",aspect:food_quality,0.024132,0.645498,3.669108
"aspect:price_value,sentiment:Neutral",aspect:food_quality,0.012382,0.63876,3.630804
"aspect:food_quality,rating_high",aspect:ambience,0.042615,0.330922,3.589121
aspect:ambience,"aspect:food_quality,rating_high",0.042615,0.46219,3.589121
aspect:waiting_time,"aspect:food_quality,rating_high",0.014696,0.452778,3.516028
"aspect:ambience,rating_high",sentiment:Positive,0.049677,0.673594,3.45147
aspect:food_quality,aspect:ambience,0.054876,0.311923,3.383068
aspect:ambience,aspect:food_quality,0.054876,0.595176,3.383068
aspect:price_value,"aspect:food_quality,rating_high",0.014726,0.431718,3.35249
"aspect:ambience,rating_high",aspect:food_quality,0.042615,0.577832,3.284483
aspect:service,"aspect:food_quality,rating_high",0.021337,0.421365,3.272093
