case_id,branch_id,issue,priority,priority_score,mention_count,average_sentiment_score,supporting_alert_count,recommended_action,suggested_owner,status,evidence_type,review_cycle
banjara_hills:ambience,banjara_hills,ambience,high,26.0,356,0.0833,7,Investigate recurring ambience feedback and assign a branch owner.,Branch manager,open,derived,Review weekly against rating and negative-ratio trend
banjara_hills:food_quality,banjara_hills,food_quality,high,26.0,703,0.086,7,Investigate recurring food_quality feedback and assign a branch owner.,Branch manager,open,derived,Review weekly against rating and negative-ratio trend
banjara_hills:hygiene,banjara_hills,hygiene,high,26.0,43,0.0273,7,Investigate recurring hygiene feedback and assign a branch owner.,Branch manager,open,derived,Review weekly against rating and negative-ratio trend
banjara_hills:price_value,banjara_hills,price_value,high,26.0,164,0.0408,7,Investigate recurring price_value feedback and assign a branch owner.,Branch manager,open,derived,Review weekly against rating and negative-ratio trend
banjara_hills:quantity,banjara_hills,quantity,high,26.0,125,0.0348,7,Investigate recurring quantity feedback and assign a branch owner.,Branch manager,open,derived,Review weekly against rating and negative-ratio trend
banjara_hills:service,banjara_hills,service,high,26.0,298,0.0226,7,"Review peak-hour staffing, greeting consistency, and table follow-up.",Branch manager,open,derived,Review weekly against rating and negative-ratio trend
banjara_hills:waiting_time,banjara_hills,waiting_time,high,26.0,186,0.0114,7,Investigate recurring waiting_time feedback and assign a branch owner.,Branch manager,open,derived,Review weekly against rating and negative-ratio trend
jubilee_hills:ambience,jubilee_hills,ambience,high,23.0,2466,0.1055,10,Investigate recurring ambience feedback and assign a branch owner.,Branch manager,open,derived,Review weekly against rating and negative-ratio trend
jubilee_hills:food_quality,jubilee_hills,food_quality,high,23.0,4683,0.1366,10,Investigate recurring food_quality feedback and assign a branch owner.,Branch manager,open,derived,Review weekly against rating and negative-ratio trend
jubilee_hills:hygiene,jubilee_hills,hygiene,high,23.0,186,0.0356,10,Investigate recurring hygiene feedback and assign a branch owner.,Branch manager,open,derived,Review weekly against rating and negative-ratio trend
jubilee_hills:price_value,jubilee_hills,price_value,high,23.0,873,0.0505,10,Investigate recurring price_value feedback and assign a branch owner.,Branch manager,open,derived,Review weekly against rating and negative-ratio trend
jubilee_hills:quantity,jubilee_hills,quantity,high,23.0,535,0.0466,10,Investigate recurring quantity feedback and assign a branch owner.,Branch manager,open,derived,Review weekly against rating and negative-ratio trend
jubilee_hills:service,jubilee_hills,service,high,23.0,1192,0.0483,10,"Review peak-hour staffing, greeting consistency, and table follow-up.",Branch manager,open,derived,Review weekly against rating and negative-ratio trend
jubilee_hills:waiting_time,jubilee_hills,waiting_time,high,23.0,821,0.0264,10,Investigate recurring waiting_time feedback and assign a branch owner.,Branch manager,open,derived,Review weekly against rating and negative-ratio trend
gachibowli:ambience,gachibowli,ambience,high,14.0,246,0.0848,4,Investigate recurring ambience feedback and assign a branch owner.,Branch manager,open,derived,Review weekly against rating and negative-ratio trend
gachibowli:food_quality,gachibowli,food_quality,high,14.0,468,0.0952,4,Investigate recurring food_quality feedback and assign a branch owner.,Branch manager,open,derived,Review weekly against rating and negative-ratio trend
gachibowli:hygiene,gachibowli,hygiene,high,14.0,39,0.0367,4,Investigate recurring hygiene feedback and assign a branch owner.,Branch manager,open,derived,Review weekly against rating and negative-ratio trend
gachibowli:price_value,gachibowli,price_value,high,14.0,98,0.0404,4,Investigate recurring price_value feedback and assign a branch owner.,Branch manager,open,derived,Review weekly against rating and negative-ratio trend
gachibowli:quantity,gachibowli,quantity,high,14.0,85,0.0444,4,Investigate recurring quantity feedback and assign a branch owner.,Branch manager,open,derived,Review weekly against rating and negative-ratio trend
gachibowli:service,gachibowli,service,high,14.0,195,0.0205,4,"Review peak-hour staffing, greeting consistency, and table follow-up.",Branch manager,open,derived,Review weekly against rating and negative-ratio trend
gachibowli:waiting_time,gachibowli,waiting_time,high,14.0,73,0.0137,4,Investigate recurring waiting_time feedback and assign a branch owner.,Branch manager,open,derived,Review weekly against rating and negative-ratio trend
