month,branch_id,branch_name,review_count,average_rating,text_available_count,is_zero_volume,is_observed
2017-05,banjara_hills,Banjara Hills,0,,0,True,False
2017-06,banjara_hills,Banjara Hills,0,,0,True,False
2017-07,banjara_hills,Banjara Hills,0,,0,True,False
2017-08,banjara_hills,Banjara Hills,0,,0,True,False
2017-09,banjara_hills,Banjara Hills,0,,0,True,False
2017-10,banjara_hills,Banjara Hills,0,,0,True,False
2017-11,banjara_hills,Banjara Hills,0,,0,True,False
2017-12,banjara_hills,Banjara Hills,0,,0,True,False
2018-01,banjara_hills,Banjara Hills,0,,0,True,False
2018-02,banjara_hills,Banjara Hills,0,,0,True,False
2018-03,banjara_hills,Banjara Hills,0,,0,True,False
2018-04,banjara_hills,Banjara Hills,0,,0,True,False
2018-05,banjara_hills,Banjara Hills,0,,0,True,False
2018-06,banjara_hills,Banjara Hills,0,,0,True,False
2018-07,banjara_hills,Banjara Hills,0,,0,True,False
2018-08,banjara_hills,Banjara Hills,0,,0,True,False
2018-09,banjara_hills,Banjara Hills,0,,0,True,False
2018-10,banjara_hills,Banjara Hills,0,,0,True,False
2018-11,banjara_hills,Banjara Hills,0,,0,True,False
2018-12,banjara_hills,Banjara Hills,0,,0,True,False
2019-01,banjara_hills,Banjara Hills,0,,0,True,False
2019-02,banjara_hills,Banjara Hills,0,,0,True,False
2019-03,banjara_hills,Banjara Hills,0,,0,True,False
2019-04,banjara_hills,Banjara Hills,0,,0,True,False
2019-05,banjara_hills,Banjara Hills,0,,0,True,False
2019-06,banjara_hills,Banjara Hills,0,,0,True,False
2019-07,banjara_hills,Banjara Hills,0,,0,True,False
2019-08,banjara_hills,Banjara Hills,0,,0,True,False
2019-09,banjara_hills,Banjara Hills,0,,0,True,False
2019-10,banjara_hills,Banjara Hills,0,,0,True,False
2019-11,banjara_hills,Banjara Hills,0,,0,True,False
2019-12,banjara_hills,Banjara Hills,0,,0,True,False
2020-01,banjara_hills,Banjara Hills,0,,0,True,False
2020-02,banjara_hills,Banjara Hills,0,,0,True,False
2020-03,banjara_hills,Banjara Hills,0,,0,True,False
2020-04,banjara_hills,Banjara Hills,0,,0,True,False
2020-05,banjara_hills,Banjara Hills,0,,0,True,False
2020-06,banjara_hills,Banjara Hills,0,,0,True,False
2020-07,banjara_hills,Banjara Hills,0,,0,True,False
2020-08,banjara_hills,Banjara Hills,0,,0,True,False
2020-09,banjara_hills,Banjara Hills,0,,0,True,False
2020-10,banjara_hills,Banjara Hills,0,,0,True,False
2020-11,banjara_hills,Banjara Hills,0,,0,True,False
2020-12,banjara_hills,Banjara Hills,0,,0,True,False
2021-01,banjara_hills,Banjara Hills,0,,0,True,False
2021-02,banjara_hills,Banjara Hills,0,,0,True,False
2021-03,banjara_hills,Banjara Hills,0,,0,True,False
2021-04,banjara_hills,Banjara Hills,0,,0,True,False
2021-05,banjara_hills,Banjara Hills,0,,0,True,False
2021-06,banjara_hills,Banjara Hills,0,,0,True,False
2021-07,banjara_hills,Banjara Hills,0,,0,True,False
2021-08,banjara_hills,Banjara Hills,0,,0,True,False
2021-09,banjara_hills,Banjara Hills,0,,0,True,False
2021-10,banjara_hills,Banjara Hills,0,,0,True,False
2021-11,banjara_hills,Banjara Hills,135,4.3481,43,False,True
2021-12,banjara_hills,Banjara Hills,188,4.367,73,False,True
2022-01,banjara_hills,Banjara Hills,154,4.2143,57,False,True
2022-02,banjara_hills,Banjara Hills,41,4.3659,26,False,True
2022-03,banjara_hills,Banjara Hills,75,4.1733,26,False,True
2022-04,banjara_hills,Banjara Hills,46,4.1957,18,False,True
2022-05,banjara_hills,Banjara Hills,43,4.3488,16,False,True
2022-06,banjara_hills,Banjara Hills,46,4.1087,19,False,True
2022-07,banjara_hills,Banjara Hills,31,4.1935,13,False,True
2022-08,banjara_hills,Banjara Hills,50,4.14,23,False,True
2022-09,banjara_hills,Banjara Hills,36,4.1667,16,False,True
2022-10,banjara_hills,Banjara Hills,32,4.125,16,False,True
2022-11,banjara_hills,Banjara Hills,45,4.1111,20,False,True
2022-12,banjara_hills,Banjara Hills,53,3.8491,28,False,True
2023-01,banjara_hills,Banjara Hills,40,4.0,22,False,True
2023-02,banjara_hills,Banjara Hills,35,3.6,25,False,True
2023-03,banjara_hills,Banjara Hills,42,3.9524,25,False,True
2023-04,banjara_hills,Banjara Hills,27,4.0741,18,False,True
2023-05,banjara_hills,Banjara Hills,43,3.907,28,False,True
2023-06,banjara_hills,Banjara Hills,50,3.76,28,False,True
2023-07,banjara_hills,Banjara Hills,52,4.0962,25,False,True
2023-08,banjara_hills,Banjara Hills,56,3.3036,42,False,True
2023-09,banjara_hills,Banjara Hills,37,4.0811,21,False,True
2023-10,banjara_hills,Banjara Hills,36,4.1111,14,False,True
2023-11,banjara_hills,Banjara Hills,35,4.1429,15,False,True
2023-12,banjara_hills,Banjara Hills,36,4.3611,13,False,True
2024-01,banjara_hills,Banjara Hills,39,3.7949,19,False,True
2024-02,banjara_hills,Banjara Hills,70,4.0857,23,False,True
2024-03,banjara_hills,Banjara Hills,73,4.1233,27,False,True
2024-04,banjara_hills,Banjara Hills,59,3.9661,26,False,True
2024-05,banjara_hills,Banjara Hills,87,3.7701,31,False,True
2024-06,banjara_hills,Banjara Hills,74,3.7703,21,False,True
2024-07,banjara_hills,Banjara Hills,76,4.0,30,False,True
2024-08,banjara_hills,Banjara Hills,69,3.8696,25,False,True
2024-09,banjara_hills,Banjara Hills,64,3.7969,28,False,True
2024-10,banjara_hills,Banjara Hills,63,3.8254,26,False,True
2024-11,banjara_hills,Banjara Hills,32,4.0938,15,False,True
2024-12,banjara_hills,Banjara Hills,30,3.5667,20,False,True
