review_id,branch_id,review_date,aspect,matched_terms,aspect_sentiment_label,aspect_sentiment_score,aspect_method,aspect_status
Ci9DQUlRQUNvZENodHljRjlvT2taRk9XWlpSM3AxUmpCdkxYUklSMUJwTlY5R09GRRAB,banjara_hills,2026-08-11T13:24:04.858000+00:00,food_quality,taste,Neutral,0.0,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT2taRk9XWlpSM3AxUmpCdkxYUklSMUJwTlY5R09GRRAB,banjara_hills,2026-08-11T13:24:04.858000+00:00,service,service,Neutral,0.0,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT2taRk9XWlpSM3AxUmpCdkxYUklSMUJwTlY5R09GRRAB,banjara_hills,2026-08-11T13:24:04.858000+00:00,waiting_time,time,Neutral,0.0,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT2taRk9XWlpSM3AxUmpCdkxYUklSMUJwTlY5R09GRRAB,banjara_hills,2026-08-11T13:24:04.858000+00:00,ambience,atmosphere,Neutral,0.0,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT25OS2NHRjBSbWhaYldjMk16WXhPVXRTTVhSdlRVRRAB,banjara_hills,2026-08-10T02:28:25.391000+00:00,ambience,parking,Positive,0.166667,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT2xNNFZXaERhSGhWVG1aSE9XbGZaVnBNTWpOd1FYYxAB,banjara_hills,2026-08-09T19:05:45.496000+00:00,food_quality,"delicious,food,fresh",Neutral,0.020478,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT2xNNFZXaERhSGhWVG1aSE9XbGZaVnBNTWpOd1FYYxAB,banjara_hills,2026-08-09T19:05:45.496000+00:00,service,"service,staff",Neutral,0.020478,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT2xNNFZXaERhSGhWVG1aSE9XbGZaVnBNTWpOd1FYYxAB,banjara_hills,2026-08-09T19:05:45.496000+00:00,quantity,"large,portions",Neutral,0.020478,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT2xNNFZXaERhSGhWVG1aSE9XbGZaVnBNTWpOd1FYYxAB,banjara_hills,2026-08-09T19:05:45.496000+00:00,hygiene,clean,Neutral,0.020478,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT2xNNFZXaERhSGhWVG1aSE9XbGZaVnBNTWpOd1FYYxAB,banjara_hills,2026-08-09T19:05:45.496000+00:00,ambience,"ambience,atmosphere,place",Neutral,0.020478,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT25kWGIxaGFTMmd4ZEVWRU9URlRTMlpSTm5KeGFtYxAB,banjara_hills,2026-08-09T13:50:56.836000+00:00,hygiene,cleanliness,Positive,0.055556,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT2xKbmJWSjVNbmQ1YkVWVlMwTlNORzVRV0VzNExXYxAB,banjara_hills,2026-08-08T17:31:46.964000+00:00,service,staff,Neutral,0.0,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT2xsa2NXTTNaRmw1UlVGNE1EYzRNWFJQUjBWc1YzYxAB,banjara_hills,2026-08-08T03:07:38.104000+00:00,food_quality,taste,Positive,0.133333,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT2xsa2NXTTNaRmw1UlVGNE1EYzRNWFJQUjBWc1YzYxAB,banjara_hills,2026-08-08T03:07:38.104000+00:00,ambience,place,Positive,0.133333,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT2s4MFNURlFaa3BzTW5waVdqQjNkbTVPWkRKVWFGRRAB,banjara_hills,2026-08-03T10:16:54.279000+00:00,service,staff,Positive,0.1,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT2s4MFNURlFaa3BzTW5waVdqQjNkbTVPWkRKVWFGRRAB,banjara_hills,2026-08-03T10:16:54.279000+00:00,ambience,seating,Positive,0.1,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT2pSMlJHcGljVk5NUWxWc1MzSjJlbkkzV0VSa2NXYxAB,banjara_hills,2026-07-29T02:56:01.317000+00:00,ambience,place,Neutral,0.0,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT2xCSlNEazVWRFp0WDBwSWRVWkJkRzluZWtWMlluYxAB,banjara_hills,2026-07-28T19:52:30.720000+00:00,food_quality,taste,Neutral,-0.038462,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT2xCSlNEazVWRFp0WDBwSWRVWkJkRzluZWtWMlluYxAB,banjara_hills,2026-07-28T19:52:30.720000+00:00,service,service,Neutral,-0.038462,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT2xOS2FsTXRZVlZLUTFGNU1VdDRjM0ZGYW1OdE4zYxAB,banjara_hills,2026-07-23T18:07:52.443000+00:00,food_quality,taste,Positive,0.068966,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT2xOS2FsTXRZVlZLUTFGNU1VdDRjM0ZGYW1OdE4zYxAB,banjara_hills,2026-07-23T18:07:52.443000+00:00,price_value,price,Positive,0.068966,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT2xOS2FsTXRZVlZLUTFGNU1VdDRjM0ZGYW1OdE4zYxAB,banjara_hills,2026-07-23T18:07:52.443000+00:00,quantity,quantity,Positive,0.068966,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT25GWk1ESkdaRmx4T1ZwelRIWlJWMlUyVlU1dVVGRRAB,banjara_hills,2026-07-21T19:54:58.708000+00:00,food_quality,"food,taste,tasty",Positive,0.071429,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT25GWk1ESkdaRmx4T1ZwelRIWlJWMlUyVlU1dVVGRRAB,banjara_hills,2026-07-21T19:54:58.708000+00:00,service,service,Positive,0.071429,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT25GWk1ESkdaRmx4T1ZwelRIWlJWMlUyVlU1dVVGRRAB,banjara_hills,2026-07-21T19:54:58.708000+00:00,price_value,"cost,prices,worth",Positive,0.071429,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT25GWk1ESkdaRmx4T1ZwelRIWlJWMlUyVlU1dVVGRRAB,banjara_hills,2026-07-21T19:54:58.708000+00:00,hygiene,hygiene,Positive,0.071429,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT25GWk1ESkdaRmx4T1ZwelRIWlJWMlUyVlU1dVVGRRAB,banjara_hills,2026-07-21T19:54:58.708000+00:00,ambience,place,Positive,0.071429,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT2xvNVNVcDBOemRRZVZwRlZYaHRWMHBrV0RKa1VHYxAB,banjara_hills,2026-07-21T16:02:08.805000+00:00,service,service,Neutral,-0.033898,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT2xvNVNVcDBOemRRZVZwRlZYaHRWMHBrV0RKa1VHYxAB,banjara_hills,2026-07-21T16:02:08.805000+00:00,waiting_time,"time,waiting",Neutral,-0.033898,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT2xvNVNVcDBOemRRZVZwRlZYaHRWMHBrV0RKa1VHYxAB,banjara_hills,2026-07-21T16:02:08.805000+00:00,ambience,place,Neutral,-0.033898,keyword_baseline_v1,derived_unvalidated
ChZDSUhNMG9nS0VJQ0FnSURxdWNXcFZnEAE,banjara_hills,2026-07-21T15:41:48.073000+00:00,price_value,prices,Positive,0.090909,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT25oTFVrOW5ibTU2U0RKd05qRkRWRlpsTlRSSU4xRRAB,banjara_hills,2026-07-21T12:49:42.682000+00:00,food_quality,food,Neutral,0.045455,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT25oTFVrOW5ibTU2U0RKd05qRkRWRlpsTlRSSU4xRRAB,banjara_hills,2026-07-21T12:49:42.682000+00:00,quantity,quantity,Neutral,0.045455,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT2t4dk1YVmFPRVprVmxKQ1NHeFhjV1JKVmt4Zk5sRRAB,banjara_hills,2026-07-18T22:10:11.663000+00:00,food_quality,fresh,Neutral,0.0,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT2kxMWRrUk5RakJ2TTFsc1dsSTNNSFJKUW1ndGVuYxAB,banjara_hills,2026-07-15T09:03:54.734000+00:00,food_quality,"flavor,food",Neutral,0.021739,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT21WVWJGOXFWbEppVDBkTGJrOVVNalZEZW1KTE4zYxAB,banjara_hills,2026-07-09T08:49:56.923000+00:00,price_value,worth,Positive,0.111111,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT2kwd0xXWkxSUzE1UjI5YVZrOUphV2x4ZUdkRGFVRRAB,banjara_hills,2026-07-08T14:10:34.553000+00:00,food_quality,food,Positive,0.2,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT2kwd0xXWkxSUzE1UjI5YVZrOUphV2x4ZUdkRGFVRRAB,banjara_hills,2026-07-08T14:10:34.553000+00:00,ambience,ambience,Positive,0.2,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT2tWeVdrdzJSRFpEU0doQlJVY3dZbDkxZWpCaVdIYxAB,banjara_hills,2026-07-04T16:47:55.285000+00:00,food_quality,food,Positive,0.142857,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT25od0xYSmxZMHBEVEU5WVIwdDNkbTlqZVMxbVkzYxAB,banjara_hills,2026-07-02T13:36:24.741000+00:00,food_quality,"food,taste",Neutral,-0.005556,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT25od0xYSmxZMHBEVEU5WVIwdDNkbTlqZVMxbVkzYxAB,banjara_hills,2026-07-02T13:36:24.741000+00:00,service,"service,staff",Neutral,-0.005556,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT25od0xYSmxZMHBEVEU5WVIwdDNkbTlqZVMxbVkzYxAB,banjara_hills,2026-07-02T13:36:24.741000+00:00,waiting_time,time,Neutral,-0.005556,keyword_baseline_v1,derived_unvalidated
Ci9DQUlRQUNvZENodHljRjlvT25od0xYSmxZMHBEVEU5WVIwdDNkbTlqZVMxbVkzYxAB,banjara_hills,2026-07-02T13:36:24.741000+00:00,price_value,price,Neutral,-0.005556,keyword_baseline_v1,derived_unvalidated
